stone: A
granite: B
polished_granite: C
diorite: D
polished_diorite: E
andesite: F
polished_andesite: G
grass_block: H
dirt: I
coarse_dirt: J
podzol: K
crimson_nylium: L
warped_nylium: M
cobblestone: N
oak_planks: O
spruce_planks: P
birch_planks: Q
jungle_planks: R
acacia_planks: S
dark_oak_planks: T
crimson_planks: U
warped_planks: V
oak_sapling: W
spruce_sapling: X
birch_sapling: Y
jungle_sapling: Z
acacia_sapling: a
dark_oak_sapling: b
bedrock: c
sand: d
red_sand: e
gravel: f
gold_ore: g
iron_ore: h
coal_ore: i
nether_gold_ore: j
oak_log: k
spruce_log: l
birch_log: m
jungle_log: n
acacia_log: o
dark_oak_log: p
crimson_stem: q
warped_stem: r
stripped_oak_log: s
stripped_spruce_log: t
stripped_birch_log: u
stripped_jungle_log: v
stripped_acacia_log: w
stripped_dark_oak_log: x
stripped_crimson_stem: y
stripped_warped_stem: z
stripped_oak_wood: 0
stripped_spruce_wood: 1
stripped_birch_wood: 2
stripped_jungle_wood: 3
stripped_acacia_wood: 4
stripped_dark_oak_wood: 5
stripped_crimson_hyphae: 6
stripped_warped_hyphae: 7
oak_wood: 8
spruce_wood: 9
birch_wood: AA
jungle_wood: BA
acacia_wood: CA
dark_oak_wood: DA
crimson_hyphae: EA
warped_hyphae: FA
oak_leaves: GA
spruce_leaves: HA
birch_leaves: IA
jungle_leaves: JA
acacia_leaves: KA
dark_oak_leaves: LA
sponge: MA
wet_sponge: NA
glass: OA
lapis_ore: PA
lapis_block: QA
dispenser: RA
sandstone: SA
chiseled_sandstone: TA
cut_sandstone: UA
note_block: VA
powered_rail: WA
detector_rail: XA
sticky_piston: YA
cobweb: ZA
grass: aA
fern: bA
dead_bush: cA
seagrass: dA
sea_pickle: eA
piston: fA
white_wool: gA
orange_wool: hA
magenta_wool: iA
light_blue_wool: jA
yellow_wool: kA
lime_wool: lA
pink_wool: mA
gray_wool: nA
light_gray_wool: oA
cyan_wool: pA
purple_wool: qA
blue_wool: rA
brown_wool: sA
green_wool: tA
red_wool: uA
black_wool: vA
dandelion: wA
poppy: xA
blue_orchid: yA
allium: zA
azure_bluet: 0A
red_tulip: 1A
orange_tulip: 2A
white_tulip: 3A
pink_tulip: 4A
oxeye_daisy: 5A
cornflower: 6A
lily_of_the_valley: 7A
wither_rose: 8A
brown_mushroom: 9A
red_mushroom: AB
crimson_fungus: BB
warped_fungus: CB
crimson_roots: DB
warped_roots: EB
nether_sprouts: FB
